isbn,genre,pages
9780735221093,Fiction,464
9781250201584,Fiction,384
9781101622452,Fiction,368
9780735218994,Fiction,464
9781982155261,Fiction,432
9781250099679,Fiction,352
9781250207180,Fiction,384
9781250207234,Fiction,368
9781250272744,Fiction,416
9781250272935,Fiction,400
9781250278197,Fiction,448
9780735220171,Fiction,640
9781459213791,Fiction,400
9781984821379,Fiction,288
9781940218083,Fiction,61
9780698157897,Fiction,464
9781984820150,Fiction,318
9780525618508,Fiction,384
9780525619246,Fiction,293
9780525620792,Fiction,320
9780446547604,Fiction,368
9781101536919,Fiction,400
9780525952923,Fiction,940
9781250123183,Fiction,400
9781101559963,Fiction,480
9781101560365,Fiction,384
9780425285053,Fiction,352
9781101987988,Fiction,384
9781451617832,Fiction,400
9780425280126,Fiction,352
9780525574705,Fiction,416
9780446554008,Fiction,448
9781982127138,Fiction,288
9781101475867,Fiction,384
9781101884058,Fiction,352
9780525435921,Fiction,528
9781101885574,Fiction,336
9780525505310,Fiction,384
9781451668964,Fiction,352
9781101476161,Fiction,448
9780525540694,Fiction,496
9780525536581,Fiction,400
9780525538240,Fiction,384
9780525538271,Fiction,368
9780525539520,Fiction,416
9781101486412,Fiction,480
9780525539643,Fiction,400
9780425280119,Fiction,352
9781451617740,Fiction,352
9780553392692,Fiction,336
9781420136074,Fiction,480
9780593328699,Fiction,400
9780593331262,Fiction,368
9781250022127,Fiction,400
9780593465066,Poetry,240
9781250066206,Fiction,400
9781982164881,Fiction,352
9781982137441,Fiction,272
9780765326379,Fiction,1264
9780759525788,Fiction,336
9781982166793,Fiction,272
9780399184017,FICTION,454
9780812996555,Fiction,320
9781101636466,Fiction,416
9780593087039,Fiction,432
9781429997171,Fiction,912
9780804179676,Fiction,336
9780804179652,Fiction,336
9781101636428,Fiction,544
9780735215955,Intelligence officers,432
9781476789439,Fiction,336
9780062072191,Fiction,528
9781524742065,Fiction,400
9781635574074,Fiction,768
9780062259677,Fiction,272
9780316387859,Fiction,528
9781488054358,Fiction,320
9781635577020,Fiction,816
9780345545961,Fiction,560
9781501131110,Fiction,336
9781501115073,Fiction,372
9780345530561,Fiction,488
9781781162644,Fiction,288
9780316498968,Fiction,944
9781476711102,Fiction,128
9780385349741,Fiction,333
9780062667632,Fiction,256
9780735217225,Fiction,320
9781476783512,Fiction,400
9781250122995,Fiction,464
9781250126108,Fiction,432
9781101884065,Chick lit,275
9781791392796,Fiction,332
9780451490148,Fiction,448
9780451488510,Fiction,464
9781728251035,Fiction,768
9780316499484,Fiction,384
9781439112823,Fiction,304
9781439146958,Fiction,416
9780316273886,Fiction,448
9781501141232,Fiction,1168
9780312577230,Fiction,448
9781501166112,Fiction,384
9780765388100,Fiction,336
9780316073714,Fiction,333
9780812995343,Fiction,368
9781250121011,Fiction,336
9780316395441,Fiction,384
9780547543864,Fiction,768
9780316403436,Fiction,272
9780399179327,FICTION,288
9781455588985,Fiction,336
9781982154912,Fiction,320
9780698165786,Fiction,416
9781629996295,Fiction,304
9781101620403,Fiction,368
9781250207098,Fiction,448
9781538730577,Fiction,448
9780399583971,Fiction,416
9781250207241,Fiction,296
9781250092410,Fiction,352
9781982134198,Fiction,368
9781538747261,Fiction,366
9781101636480,Fiction,304
9781538751152,Fiction,384
9781538719695,Fiction,479
9781101625132,Fiction,368
9781101623503,Fiction,384
9781982108847,Fiction,416
9781501195082,Fiction,512
9781250020079,Fiction,352
9781101947746,FICTION,320
9781101987759,Fiction,576
9781466842038,Fiction,352
9781939996268,Fiction,375
9781455560837,Fiction,384
9780345538895,Fiction,368
9780316235556,Fiction,816
9780399585371,Fiction,320
9780062430298,Fiction,656
